"biomarker","auc","CN_Mean","CN_SD","AD_Mean","AD_SD","pvalues","statistic","foldchange","qvalues"
"TG(18:1_30:1)",0.536,10.993,9.467,12.017,9.869,0.209,1.258,1.093,0.458
"TG(18:1_30:2)",0.557,2.594,2.324,2.995,2.445,0.046,1.999,1.155,0.195
"TG(18:1_31:0)",0.506,3.554,3.408,3.34,2.65,0.391,-0.859,0.94,0.632
"TG(18:1_32:0)",0.534,62.481,48.742,55.823,41.536,0.075,-1.784,0.893,0.259
"TG(18:1_32:1)",0.519,70.963,46.285,72.367,46.397,0.718,0.362,1.02,0.864
"TG(18:1_32:2)",0.547,21.867,12.901,23.475,12.694,0.134,1.502,1.074,0.352
"TG(18:1_32:3)",0.533,2.556,1.643,2.668,1.473,0.386,0.868,1.044,0.632
"TG(18:1_33:0)",0.511,3.488,2.779,3.299,2.363,0.376,-0.886,0.946,0.625
"TG(18:1_33:1)",0.518,9.148,5.753,9.287,5.253,0.762,0.303,1.015,0.889
"TG(18:1_33:2)",0.547,3.862,2.22,4.077,1.903,0.208,1.26,1.056,0.458
"TG(18:1_33:3)",0.517,0.495,0.279,0.498,0.225,0.917,0.104,1.004,0.967
"TG(18:1_34:1)",0.505,322.942,171.941,319.339,171.281,0.802,-0.251,0.989,0.914
"TG(18:1_34:2)",0.524,216.599,105.996,224.121,102.613,0.388,0.863,1.035,0.632
"TG(18:1_34:3)",0.541,38.761,18.576,41.301,18.638,0.104,1.629,1.066,0.316
"TG(18:1_34:4)",0.536,4.049,2.092,4.247,1.962,0.241,1.175,1.049,0.499
"TG(18:1_35:2)",0.524,7.156,3.65,7.384,3.34,0.435,0.782,1.032,0.654
"TG(18:1_35:3)",0.526,2.149,1.07,2.231,0.978,0.337,0.962,1.038,0.591
"TG(18:1_36:0)",0.56,4.301,3.025,3.772,2.753,0.028,-2.205,0.877,0.134
"TG(18:1_36:1)",0.548,34.44,20.829,31.509,17.778,0.067,-1.836,0.915,0.251
"TG(18:1_36:2)",0.531,116.908,69.163,110.444,54.05,0.203,-1.274,0.945,0.454
"TG(18:1_36:3)",0.501,102.994,59.96,101.299,46.281,0.698,-0.388,0.984,0.853
"TG(18:1_36:4)",0.512,40.75,26.141,40.575,19.804,0.926,-0.092,0.996,0.967
"TG(18:1_36:5)",0.505,8.778,5.518,8.499,4.192,0.485,-0.699,0.968,0.695
"TG(18:1_36:6)",0.51,1.161,0.89,1.05,0.602,0.069,-1.819,0.904,0.254
"TG(18:1_38:5)",0.519,7.112,2.49,6.92,2.099,0.313,-1.009,0.973,0.564
"TG(18:1_38:6)",0.57,4.708,1.921,4.218,1.291,0,-3.719,0.896,0.005
"TG(18:1_38:7)",0.545,1.107,0.286,1.052,0.245,0.012,-2.526,0.95,0.074
"TG(18:2_28:0)",0.519,2.093,2.864,2.047,2.271,0.826,-0.22,0.978,0.914
"TG(18:2_30:0)",0.502,9.391,8.804,8.73,6.991,0.311,-1.015,0.93,0.561
"TG(18:2_30:1)",0.549,5.17,4.196,5.64,4.066,0.174,1.362,1.091,0.415
"TG(18:2_31:0)",0.508,2.296,1.99,2.191,1.455,0.46,-0.74,0.954,0.677
"TG(18:2_32:0)",0.518,32.325,23.366,29.854,19.112,0.159,-1.41,0.924,0.39
"TG(18:2_32:1)",0.539,35.493,20.986,37.24,20.089,0.309,1.019,1.049,0.56
"TG(18:2_32:2)",0.56,11.006,6.75,12.034,6.221,0.057,1.906,1.093,0.226
"TG(18:2_33:0)",0.512,1.875,1.414,1.827,1.104,0.642,-0.465,0.974,0.825
"TG(18:2_33:1)",0.545,4.919,2.911,5.169,2.483,0.263,1.12,1.051,0.516
"TG(18:2_33:2)",0.564,2.098,1.261,2.274,1.053,0.065,1.846,1.084,0.247
"TG(18:2_34:0)",0.504,23.826,13.252,23.45,11.972,0.72,-0.359,0.984,0.864
"TG(18:2_34:1)",0.521,182.67,91.039,187.672,86.352,0.499,0.676,1.027,0.7
"TG(18:2_34:2)",0.548,116.957,62.005,125.031,58.197,0.107,1.613,1.069,0.322
"TG(18:2_34:3)",0.556,19.29,10.498,21.092,10.199,0.038,2.084,1.093,0.17
"TG(18:2_34:4)",0.551,2.107,1.247,2.262,1.141,0.121,1.555,1.073,0.339
"TG(18:2_35:1)",0.53,4.012,2.127,4.15,1.848,0.401,0.84,1.034,0.64
"TG(18:2_35:2)",0.548,3.761,1.966,3.996,1.731,0.125,1.536,1.063,0.343
"TG(18:2_35:3)",0.554,1.169,0.629,1.257,0.57,0.077,1.771,1.075,0.262
"TG(18:2_36:0)",0.528,2.337,1.467,2.183,1.205,0.162,-1.401,0.934,0.395
"TG(18:2_36:1)",0.516,20.546,11.31,19.817,9.197,0.39,-0.861,0.965,0.632
"TG(18:2_36:2)",0.504,59.417,34.303,58.832,26.72,0.816,-0.233,0.99,0.914
"TG(18:2_36:3)",0.525,48.14,34.811,48.852,26.939,0.78,0.28,1.015,0.899
"TG(18:2_36:4)",0.528,19.725,18.987,20.209,19.374,0.764,0.301,1.025,0.889
"TG(18:2_36:5)",0.521,4.809,5.233,4.779,6.145,0.951,-0.062,0.994,0.972
"TG(18:2_38:4)",0.518,2.889,1.39,2.949,1.249,0.584,0.547,1.021,0.769
"TG(18:2_38:5)",0.514,3.699,1.748,3.72,1.477,0.876,0.156,1.006,0.939
"TG(18:2_38:6)",0.549,2.576,1.429,2.287,1.046,0.005,-2.84,0.888,0.037
"TG(18:3_30:0)",0.52,1.145,1.265,1.009,0.875,0.123,-1.545,0.881,0.341
"TG(18:3_32:0)",0.538,3.485,2.857,3.034,2.169,0.029,-2.185,0.87,0.139
"TG(18:3_32:1)",0.512,4.195,2.859,4.169,2.51,0.907,-0.117,0.994,0.962
"TG(18:3_33:2)",0.522,0.181,0.092,0.183,0.078,0.75,0.319,1.012,0.881
"TG(18:3_34:0)",0.519,2.654,1.59,2.525,1.361,0.29,-1.06,0.951,0.539
"TG(18:3_34:1)",0.501,20.795,10.968,20.611,9.993,0.833,-0.211,0.991,0.919
"TG(18:3_34:2)",0.524,13.115,7.103,13.482,6.533,0.518,0.647,1.028,0.72
"TG(18:3_34:3)",0.539,2.281,1.332,2.384,1.219,0.336,0.964,1.045,0.591
"TG(18:3_35:2)",0.529,0.523,0.283,0.541,0.248,0.414,0.817,1.034,0.648
"TG(18:3_36:1)",0.514,2.43,1.431,2.324,1.128,0.314,-1.008,0.956,0.564
"TG(18:3_36:2)",0.502,9.817,5.832,9.585,4.502,0.586,-0.545,0.976,0.77
"TG(18:3_36:3)",0.522,8.32,6.126,8.306,4.89,0.975,-0.032,0.998,0.988
"TG(18:3_36:4)",0.526,3.549,3.606,3.554,3.953,0.989,0.014,1.001,0.996
"TG(18:3_38:5)",0.512,0.533,0.228,0.514,0.189,0.268,-1.11,0.964,0.521
"TG(18:3_38:6)",0.534,0.358,0.173,0.328,0.12,0.012,-2.532,0.915,0.074
"TG(20:0_32:3)",0.513,0.405,0.202,0.413,0.194,0.657,0.444,1.018,0.833
"TG(20:0_32:4)",0.531,0.469,0.247,0.488,0.231,0.346,0.943,1.04,0.601
"TG(20:0_34:1)",0.577,1.055,0.644,0.92,0.369,0.001,-3.237,0.872,0.017
"TG(20:1_30:1)",0.514,0.099,0.054,0.1,0.051,0.812,0.238,1.011,0.914
"TG(20:1_32:0)",0.553,0.025,0.019,0.021,0.015,0.006,-2.777,0.845,0.044
"TG(20:1_32:1)",0.502,0.714,0.447,0.695,0.422,0.613,-0.506,0.974,0.798
"TG(20:1_32:2)",0.52,0.378,0.169,0.384,0.161,0.635,0.475,1.017,0.818
"TG(20:1_32:3)",0.545,0.165,0.062,0.174,0.062,0.086,1.719,1.054,0.283
"TG(20:1_34:0)",0.556,0.407,0.241,0.357,0.204,0.007,-2.718,0.877,0.051
"TG(20:1_34:1)",0.535,2.773,1.532,2.562,1.408,0.085,-1.728,0.924,0.279
"TG(20:1_34:2)",0.507,2.001,0.993,1.948,0.891,0.495,-0.683,0.973,0.699
"TG(20:1_34:3)",0.511,0.392,0.165,0.396,0.156,0.81,0.24,1.008,0.914
"TG(20:2_32:0)",0.529,0.647,0.476,0.578,0.381,0.051,-1.957,0.893,0.209
"TG(20:2_32:1)",0.516,0.848,0.523,0.855,0.501,0.88,0.151,1.008,0.94
"TG(20:2_34:1)",0.5,2.709,1.385,2.658,1.289,0.642,-0.465,0.981,0.825
"TG(20:2_34:2)",0.524,1.864,0.917,1.904,0.837,0.578,0.557,1.022,0.766
"TG(20:2_34:3)",0.533,0.429,0.21,0.447,0.198,0.286,1.068,1.042,0.536
"TG(20:2_34:4)",0.517,0.034,0.017,0.034,0.016,0.948,0.065,1.003,0.972
"TG(20:2_36:5)",0.523,0.171,0.037,0.168,0.035,0.259,-1.13,0.98,0.511
"TG(20:3_32:0)",0.535,1.103,0.903,0.954,0.686,0.023,-2.281,0.865,0.117
"TG(20:3_32:1)",0.51,1.376,0.944,1.358,0.849,0.812,-0.238,0.987,0.914
"TG(20:3_32:2)",0.533,0.422,0.251,0.446,0.246,0.266,1.114,1.055,0.519
"TG(20:3_34:0)",0.528,0.705,0.441,0.651,0.374,0.109,-1.604,0.923,0.322
"TG(20:3_34:1)",0.514,4.988,2.807,4.797,2.482,0.384,-0.872,0.962,0.632
"TG(20:3_34:2)",0.51,3.648,1.861,3.676,1.688,0.851,0.187,1.008,0.927
"TG(20:3_34:3)",0.521,0.72,0.358,0.742,0.335,0.451,0.755,1.03,0.667
"TG(20:3_36:3)",0.5,1.864,0.802,1.874,0.746,0.88,0.151,1.005,0.94
"TG(20:3_36:4)",0.503,0.953,0.309,0.954,0.285,0.962,0.048,1.001,0.978
"TG(20:3_36:5)",0.505,0.259,0.052,0.259,0.049,0.924,-0.095,0.998,0.967
"TG(20:4_30:0)",0.524,0.884,1.096,0.739,0.738,0.054,-1.932,0.836,0.217
"TG(20:4_32:0)",0.545,2.818,2.699,2.321,1.885,0.008,-2.643,0.824,0.061
"TG(20:4_32:1)",0.513,2.887,2.391,2.666,1.899,0.21,-1.255,0.923,0.458
"TG(20:4_32:2)",0.51,0.954,0.68,0.942,0.562,0.821,-0.227,0.988,0.914
"TG(20:4_33:2)",0.504,0.14,0.083,0.136,0.065,0.541,-0.612,0.973,0.741
"TG(20:4_34:0)",0.531,1.941,1.285,1.772,1.009,0.074,-1.79,0.913,0.259
"TG(20:4_34:1)",0.521,13.34,7.912,12.633,6.657,0.241,-1.175,0.947,0.499
"TG(20:4_34:2)",0.501,9.541,5.386,9.435,4.665,0.8,-0.254,0.989,0.914
"TG(20:4_34:3)",0.512,1.647,0.9,1.653,0.764,0.929,0.089,1.004,0.967
"TG(20:4_35:3)",0.5,0.069,0.032,0.069,0.027,0.782,-0.277,0.99,0.9
"TG(20:4_36:2)",0.515,8.794,3.691,8.595,3.203,0.485,-0.699,0.977,0.695
"TG(20:4_36:3)",0.5,6.062,2.806,6.011,2.348,0.81,-0.24,0.992,0.914
"TG(20:4_36:4)",0.501,2.436,1.289,2.413,1.09,0.813,-0.237,0.99,0.914
"TG(20:4_36:5)",0.523,0.72,0.394,0.674,0.313,0.116,-1.572,0.936,0.331
"TG(20:5_34:0)",0.579,0.402,0.401,0.298,0.211,0,-4.114,0.741,0.002
"TG(20:5_34:1)",0.572,3.729,3.286,2.925,1.94,0,-3.745,0.784,0.005
"TG(20:5_34:2)",0.556,2.906,2.449,2.381,1.565,0.001,-3.19,0.819,0.018
"TG(20:5_36:2)",0.591,2.191,1.732,1.688,1,0,-4.477,0.77,0.001
"TG(20:5_36:3)",0.572,2.147,1.653,1.7,1.04,0,-4.044,0.792,0.002
"TG(22:0_32:4)",0.512,0.011,0.004,0.012,0.004,0.731,0.344,1.01,0.872
"TG(22:1_32:5)",0.504,0.039,0.026,0.038,0.023,0.763,-0.301,0.984,0.889
"TG(22:2_32:4)",0.507,0.06,0.05,0.059,0.053,0.929,-0.089,0.994,0.967
"TG(22:4_32:0)",0.53,0.281,0.257,0.241,0.192,0.033,-2.134,0.86,0.154
"TG(22:4_32:2)",0.507,0.061,0.035,0.061,0.033,0.986,0.018,1.001,0.994
"TG(22:4_34:2)",0.524,1.179,0.686,1.216,0.623,0.495,0.683,1.032,0.699
"TG(22:5_32:0)",0.552,0.975,0.722,0.816,0.486,0.001,-3.206,0.837,0.017
"TG(22:5_32:1)",0.511,1.018,0.706,0.943,0.512,0.138,-1.487,0.927,0.358
"TG(22:5_34:1)",0.515,5.18,2.722,4.947,2.218,0.253,-1.145,0.955,0.511
"TG(22:5_34:2)",0.502,3.537,1.831,3.46,1.497,0.573,-0.563,0.978,0.762
"TG(22:5_34:3)",0.508,0.614,0.317,0.603,0.245,0.645,-0.461,0.983,0.826
"TG(22:6_32:0)",0.6,1.893,1.893,1.283,1.09,0,-4.975,0.678,0
"TG(22:6_32:1)",0.583,2.176,2.135,1.61,1.212,0,-4.106,0.74,0.002
"TG(22:6_34:1)",0.602,9.432,7.402,7.117,5.062,0,-4.526,0.755,0.001
"TG(22:6_34:2)",0.589,7.09,5.553,5.57,3.992,0,-3.878,0.786,0.004
"TG(22:6_34:3)",0.582,1.287,1.132,1.008,0.739,0,-3.624,0.784,0.007
"Thr",0.52,140.924,30.638,138.028,29.051,0.245,-1.164,0.979,0.505
"TLCA",0.553,0.01,0.018,0.014,0.026,0.057,1.908,1.359,0.226
"TMAO",0.549,10.232,10.944,8.684,10.197,0.079,-1.759,0.849,0.265
"TMCA",0.587,0.084,0.2,0.055,0.181,0.067,-1.833,0.654,0.251
"Trigonelline",0.576,1.659,1.99,1.243,1.302,0.002,-3.077,0.749,0.024
"Trp",0.594,65.852,11.077,62.24,11.847,0,-3.733,0.945,0.005
"TrpBetaine",0.586,0.659,0.135,0.696,0.151,0.002,3.048,1.056,0.026
"Tyr",0.566,74.465,16.147,70.555,15.353,0.003,-2.977,0.947,0.03
"Val",0.607,241.507,39.723,225.542,34.591,0,-5.188,0.934,0
"Xanthine",0.547,3.115,1.973,3.547,2.849,0.043,2.034,1.139,0.187
