"biomarker","auc","CN_Mean","CN_SD","AD_Mean","AD_SD","pvalues","statistic","foldchange","qvalues"
"PC ae C32:2",0.523,0.709,0.16,0.687,0.134,0.072,-1.803,0.969,0.254
"PC ae C34:0",0.502,1.443,0.35,1.444,0.344,0.949,0.065,1.001,0.972
"PC ae C34:1",0.505,9.173,1.783,9.185,1.887,0.938,0.078,1.001,0.971
"PC ae C34:2",0.511,11.205,2.85,11.172,2.698,0.886,-0.143,0.997,0.945
"PC ae C34:3",0.52,7.635,2.392,7.4,2.18,0.217,-1.235,0.969,0.466
"PC ae C36:0",0.561,0.688,0.159,0.648,0.137,0.001,-3.206,0.943,0.017
"PC ae C36:1",0.509,21.838,4.318,21.803,4.346,0.923,-0.097,0.998,0.967
"PC ae C36:2",0.525,14.656,3.177,14.891,3.15,0.376,0.886,1.016,0.625
"PC ae C36:3",0.521,7.438,1.846,7.488,1.819,0.747,0.323,1.007,0.879
"PC ae C36:4",0.529,17.524,4.698,16.75,3.334,0.019,-2.346,0.956,0.102
"PC ae C36:5",0.581,12.076,3.588,11.019,2.641,0,-4.131,0.912,0.002
"PC ae C38:0",0.571,1.499,0.443,1.377,0.424,0.001,-3.387,0.918,0.012
"PC ae C38:1",0.547,1.796,0.491,1.73,0.52,0.119,-1.563,0.963,0.336
"PC ae C38:2",0.523,3.236,0.699,3.172,0.703,0.281,-1.078,0.98,0.529
"PC ae C38:3",0.511,7.094,1.364,7.167,1.513,0.553,0.594,1.01,0.748
"PC ae C38:4",0.549,13.961,3.095,14.374,2.82,0.093,1.681,1.03,0.298
"PC ae C38:5",0.511,17.83,3.926,17.422,3.01,0.153,-1.431,0.977,0.38
"PC ae C38:6",0.57,6.784,1.847,6.26,1.441,0,-3.873,0.923,0.004
"PC ae C40:1",0.539,1.565,0.333,1.512,0.358,0.07,-1.817,0.966,0.254
"PC ae C40:2",0.524,2.475,0.572,2.404,0.521,0.115,-1.578,0.971,0.331
"PC ae C40:3",0.51,1.938,0.457,1.946,0.453,0.825,0.221,1.004,0.914
"PC ae C40:4",0.565,2.718,0.54,2.824,0.55,0.021,2.307,1.039,0.11
"PC ae C40:5",0.564,5.37,1.044,5.563,1.038,0.028,2.21,1.036,0.134
"PC ae C40:6",0.528,5.377,1.312,5.208,1.207,0.109,-1.605,0.969,0.322
"PC ae C42:0",0.548,0.765,0.118,0.743,0.116,0.028,-2.208,0.972,0.134
"PC ae C42:1",0.533,0.483,0.085,0.473,0.089,0.136,-1.495,0.977,0.355
"PC ae C42:2",0.524,0.692,0.136,0.676,0.138,0.157,-1.416,0.976,0.388
"PC ae C42:3",0.508,1.055,0.232,1.038,0.23,0.384,-0.872,0.984,0.632
"PC ae C42:4",0.558,1.103,0.257,1.15,0.262,0.03,2.175,1.043,0.142
"PC ae C42:5",0.58,2.764,0.556,2.903,0.538,0.003,3.034,1.05,0.026
"PC ae C44:3",0.511,0.198,0.036,0.199,0.039,0.686,0.405,1.006,0.853
"PC ae C44:4",0.547,0.486,0.104,0.503,0.107,0.062,1.87,1.034,0.239
"PC ae C44:5",0.565,1.814,0.51,1.904,0.475,0.029,2.192,1.05,0.138
"PC ae C44:6",0.546,1.45,0.407,1.503,0.383,0.109,1.606,1.036,0.322
"PEA",0.599,0.253,0.044,0.237,0.047,0,-3.995,0.939,0.003
"Phe",0.536,88.697,17.414,86.565,16.267,0.129,-1.52,0.976,0.346
"PheAlaBetaine",0.513,97.91,25.025,96.305,21.957,0.41,-0.825,0.984,0.643
"Pro",0.525,211.8,55.903,206.156,53.677,0.218,-1.234,0.973,0.466
"ProBetaine",0.564,0.096,0.014,0.097,0.014,0.363,0.91,1.011,0.618
"Sarcosine",0.538,0.371,0.094,0.38,0.077,0.238,1.182,1.022,0.496
"SDMA",0.527,21.292,25.086,25.138,32.931,0.127,1.528,1.181,0.345
"Ser",0.547,132.29,29.216,127.014,21.541,0.012,-2.53,0.96,0.074
"Serotonin",0.509,0.04,0,0.04,0.002,0.951,-0.061,1,0.972
"SM (OH) C14:1",0.51,7.731,1.74,7.625,1.712,0.461,-0.737,0.986,0.678
"SM (OH) C16:1",0.512,4.685,1.019,4.7,1.015,0.858,0.179,1.003,0.927
"SM (OH) C22:1",0.533,17.569,3.575,17.061,3.275,0.075,-1.785,0.971,0.259
"SM (OH) C22:2",0.527,13.901,2.911,13.582,2.655,0.169,-1.379,0.977,0.407
"SM (OH) C24:1",0.565,1.966,0.412,1.849,0.377,0,-3.57,0.94,0.008
"SM C16:0",0.506,116.489,15.164,115.333,16.21,0.383,-0.873,0.99,0.632
"SM C16:1",0.538,21.435,4.006,20.805,3.802,0.053,-1.936,0.971,0.217
